,subject_id,sex
0,A00062361,0.9343908
1,A00039143,0.9854918
2,A00031605,0.9909604
3,A00037848,0.032569934
4,A00060264,0.9872994
5,A00060602,0.4371468
6,A00052639,0.98856175
7,A00053850,0.5073266
8,A00028246,0.99335843
9,A00054173,0.98998964
10,A00057445,0.9917041
11,A00058515,0.98900056
12,A00063473,0.9623783
13,A00040117,0.94570386
14,A00037510,0.9932696
15,A00055727,0.7854991
16,A00052307,0.3872799
17,A00028994,0.9349902
18,A00051727,0.88594806
19,A00058951,0.98000926
20,A00056830,0.92594695
21,A00051726,0.44747964
22,A00066154,0.9139251
23,A00057235,0.7323981
24,A00065873,0.99099207
25,A00054206,0.056312747
26,A00062411,0.4162044
27,A00054578,0.30489388
28,A00054019,0.33592147
29,A00066812,0.9735189
30,A00040285,0.84294707
31,A00062081,0.4289338
32,A00038805,0.3920772
33,A00032817,0.97615594
34,A00033714,0.005662136
35,A00060773,0.9940499
36,A00060280,0.086059146
37,A00039118,0.99278545
38,A00061634,0.71800524
39,A00059845,0.04442724
40,A00030912,0.9936907
41,A00033673,0.4845249
42,A00056097,0.03473255
43,A00037368,0.15272264
44,A00029076,0.8302563
45,A00040629,0.17663582
46,A00062942,0.9892902
47,A00041049,0.99551207
48,A00060662,0.9842711
49,A00057808,0.9875644
50,A00054532,0.63004655
51,A00052197,0.21536164
52,A00063329,0.94994587
53,A00059733,0.9784818
54,A00028150,0.6368597
55,A00033834,0.11173616
56,A00039463,0.9621892
57,A00063006,0.96672004
58,A00054897,0.0678572
59,A00066237,0.89673775
60,A00037387,0.8618586
61,A00052502,0.08221759
62,A00065749,0.02662738
63,A00060493,0.9902109
64,A00061711,0.091932185
65,A00066246,0.0320706
66,A00028185,0.9888016
67,A00039846,0.99816775
68,A00037818,0.094842196
69,A00028691,0.9963786
70,A00055122,0.22334969
71,A00044405,0.9912246
72,A00066396,0.08075014
73,A00056470,0.99588937
74,A00039607,0.7012037
75,A00065250,0.9242458
76,A00039075,0.02123599
77,A00037768,0.9905228
78,A00058621,0.9850369
79,A00033903,0.9901383
80,A00073600,0.89251316
