,subject_id,sex
0,A00062361,0.8348855
1,A00039143,0.84104645
2,A00031605,0.99967766
3,A00037848,0.0005838155
4,A00060264,0.99855834
5,A00060602,0.03688292
6,A00052639,0.6745645
7,A00053850,0.07341964
8,A00028246,0.9994536
9,A00054173,0.9955995
10,A00057445,0.9892347
11,A00058515,0.9953615
12,A00063473,0.9343773
13,A00040117,0.90293837
14,A00037510,0.97370255
15,A00055727,0.5364053
16,A00052307,0.0036032964
17,A00028994,0.14420652
18,A00051727,0.35613996
19,A00058951,0.968442
20,A00056830,0.9866066
21,A00051726,0.11419955
22,A00066154,0.03842732
23,A00057235,0.75880367
24,A00065873,0.99645907
25,A00054206,0.079554304
26,A00062411,0.6048391
27,A00054578,0.16633894
28,A00054019,0.0038393456
29,A00066812,0.8974112
30,A00040285,0.60412884
31,A00062081,0.026332526
32,A00038805,0.43737882
33,A00032817,0.9238284
34,A00033714,3.4997329e-06
35,A00060773,0.9975431
36,A00060280,0.38307443
37,A00039118,0.9938896
38,A00061634,0.9654579
39,A00059845,0.0032168035
40,A00030912,0.9910533
41,A00033673,0.0018054097
42,A00056097,0.012829411
43,A00037368,0.27575865
44,A00029076,0.021495787
45,A00040629,0.08422811
46,A00062942,0.9879683
47,A00041049,0.9986137
48,A00060662,0.95972866
49,A00057808,0.9967198
50,A00054532,0.120036036
51,A00052197,0.31758982
52,A00063329,0.98622614
53,A00059733,0.9616078
54,A00028150,0.9571584
55,A00033834,0.017287008
56,A00039463,0.9978429
57,A00063006,0.9978689
58,A00054897,0.0003243202
59,A00066237,0.027871631
60,A00037387,0.16335492
61,A00052502,0.0023909528
62,A00065749,0.00047580962
63,A00060493,0.7334253
64,A00061711,0.5691541
65,A00066246,0.0073454925
66,A00028185,0.88785374
67,A00039846,0.99974054
68,A00037818,0.012870088
69,A00028691,0.9958609
70,A00055122,0.11358891
71,A00044405,0.9979219
72,A00066396,0.063772336
73,A00056470,0.9996562
74,A00039607,0.094791755
75,A00065250,0.86342454
76,A00039075,0.0004579111
77,A00037768,0.99797684
78,A00058621,0.98764634
79,A00033903,0.9958484
80,A00073600,0.9729138
