,subject_id,sex
0,A00062361,0.1397078
1,A00039143,0.75756675
2,A00031605,0.99988127
3,A00037848,0.00044178846
4,A00060264,0.9990767
5,A00060602,0.0023234433
6,A00052639,0.9448797
7,A00053850,0.05087518
8,A00028246,0.99977046
9,A00054173,0.9973328
10,A00057445,0.99938416
11,A00058515,0.99880123
12,A00063473,0.9303074
13,A00040117,0.9510254
14,A00037510,0.99376255
15,A00055727,0.33163452
16,A00052307,0.008243326
17,A00028994,0.11788071
18,A00051727,0.2201662
19,A00058951,0.980356
20,A00056830,0.9957403
21,A00051726,0.09411692
22,A00066154,0.05778447
23,A00057235,0.26016238
24,A00065873,0.9978282
25,A00054206,0.0064815194
26,A00062411,0.9418102
27,A00054578,0.061097197
28,A00054019,0.006088627
29,A00066812,0.9528556
30,A00040285,0.2148415
31,A00062081,0.02155154
32,A00038805,0.3395214
33,A00032817,0.9282593
34,A00033714,2.604662e-05
35,A00060773,0.9973494
36,A00060280,0.12040399
37,A00039118,0.99648213
38,A00061634,0.87829447
39,A00059845,0.012639781
40,A00030912,0.9956334
41,A00033673,0.030183472
42,A00056097,0.007124106
43,A00037368,0.20250005
44,A00029076,0.013796174
45,A00040629,0.06837758
46,A00062942,0.9914545
47,A00041049,0.9992198
48,A00060662,0.9467271
49,A00057808,0.99487597
50,A00054532,0.24924836
51,A00052197,0.3347494
52,A00063329,0.996452
53,A00059733,0.9744878
54,A00028150,0.99203694
55,A00033834,0.0055113356
56,A00039463,0.9993124
57,A00063006,0.99952257
58,A00054897,0.0002735565
59,A00066237,0.06348689
60,A00037387,0.2252108
61,A00052502,0.0034159883
62,A00065749,0.0011522355
63,A00060493,0.5148481
64,A00061711,0.15216273
65,A00066246,0.0074623283
66,A00028185,0.8512083
67,A00039846,0.9999027
68,A00037818,0.06367558
69,A00028691,0.99890447
70,A00055122,0.07346305
71,A00044405,0.99893266
72,A00066396,0.016888307
73,A00056470,0.9995875
74,A00039607,0.13938217
75,A00065250,0.7700615
76,A00039075,0.00070565025
77,A00037768,0.9996778
78,A00058621,0.9937482
79,A00033903,0.9978393
80,A00073600,0.96453756
