,subject_id,sex
0,A00062361,0.20442782
1,A00039143,0.95107067
2,A00031605,0.9977302
3,A00037848,0.007853517
4,A00060264,0.98793554
5,A00060602,0.1122354
6,A00052639,0.9642909
7,A00053850,0.24344099
8,A00028246,0.99720794
9,A00054173,0.9869964
10,A00057445,0.99146605
11,A00058515,0.98996943
12,A00063473,0.7358315
13,A00040117,0.79668933
14,A00037510,0.9852476
15,A00055727,0.7789685
16,A00052307,0.050634716
17,A00028994,0.67219317
18,A00051727,0.685041
19,A00058951,0.9181747
20,A00056830,0.9789746
21,A00051726,0.3179665
22,A00066154,0.33178312
23,A00057235,0.6183283
24,A00065873,0.97925115
25,A00054206,0.090935916
26,A00062411,0.62019694
27,A00054578,0.35172918
28,A00054019,0.073170155
29,A00066812,0.93813133
30,A00040285,0.8071989
31,A00062081,0.16676754
32,A00038805,0.3781869
33,A00032817,0.9200865
34,A00033714,0.00022594504
35,A00060773,0.99119383
36,A00060280,0.29394233
37,A00039118,0.9845026
38,A00061634,0.91273344
39,A00059845,0.07813619
40,A00030912,0.9903043
41,A00033673,0.15567248
42,A00056097,0.1579285
43,A00037368,0.37394854
44,A00029076,0.2867893
45,A00040629,0.2358964
46,A00062942,0.9897753
47,A00041049,0.9988102
48,A00060662,0.9331672
49,A00057808,0.99306047
50,A00054532,0.6054674
51,A00052197,0.42191294
52,A00063329,0.95283
53,A00059733,0.96728814
54,A00028150,0.9194704
55,A00033834,0.18090379
56,A00039463,0.9859185
57,A00063006,0.9940422
58,A00054897,0.0009845153
59,A00066237,0.7259406
60,A00037387,0.46132597
61,A00052502,0.06223958
62,A00065749,0.011296623
63,A00060493,0.91127056
64,A00061711,0.5446197
65,A00066246,0.038298924
66,A00028185,0.92546344
67,A00039846,0.9995041
68,A00037818,0.08521346
69,A00028691,0.9950258
70,A00055122,0.38732886
71,A00044405,0.99087805
72,A00066396,0.09465234
73,A00056470,0.9981481
74,A00039607,0.5993089
75,A00065250,0.73006594
76,A00039075,0.012277605
77,A00037768,0.99461645
78,A00058621,0.98608404
79,A00033903,0.992274
80,A00073600,0.8328985
